number,formula,fit_type,density[g/cm3],temp_min[K],temp_max[K],c0,c1,c2,c3,c4,std_dev[kJ/mol]
26,SiO2[l],3,2.100E+00,,,-7.186E+04,3.596E+01,-6.578E-04,-3.787E-08,8.783E-12,8.000E-02
27,Zr[s],3,6.520E+00,,3.565E+03,-7.288E+04,3.111E+01,-6.948E-04,2.421E-07,-3.553E-11,1.000E-02
28,Zr[l],3,5.800E+00,,,-7.141E+04,3.065E+01,-5.472E-04,4.598E-08,-9.407E-13,2.000E-02
29,ZrO2[s],3,5.680E+00,,,-9.772E+04,4.185E+01,-2.220E-03,3.208E-07,-1.607E-11,6.000E-02
30,ZrO2[l],3,5.000E+00,,,-8.873E+04,3.867E+01,-1.950E-03,2.389E-07,-1.431E-11,1.100E-01
31,ZrSiO4[s],5,4.560E+00,,,4.901E+05,-8.787E+00,-5.527E+01,8.613E-03,-1.027E-06,2.600E-01
32,W[s],3,1.925E+01,,4.431E+03,-1.024E+05,3.075E+01,-6.136E-06,5.365E-08,-1.195E-11,3.000E-02
33,W[l],3,17.6,,,-9.669E+04,2.905E+01,2.113E-04,-5.933E-08,6.154E-12,1.000E-02
34,WO3[s],3,7.160E+00,,3.476E+03,-6.636E+04,4.062E+01,-2.835E-03,6.339E-07,-7.731E-11,1.000E-02
35,WO3[l],3,7,,,-5.982E+04,3.684E+01,-1.605E-03,-3.332E-07,8.096E-11,1.000E-02
36,MgO[s],3,3.580E+00,,5.782E+03,-7.918E+04,3.573E+01,1.450E-04,-8.472E-08,4.492E-12,9.000E-02
37,MgO[l],3,2.9,,,-7.074E+04,3.257E+01,6.946E-04,-2.714E-07,2.246E-11,4.000E-02
38,FeO[s],3,5.990E+00,,,-6.300E+04,3.664E+01,-2.430E-03,3.186E-07,0.000E+00,1.000E-02
39,FeO[l],3,5.5,,,-6.031E+04,3.484E+01,-2.219E-03,2.779E-07,-1.568E-11,1.000E-02
40,Na2SiO3[s],2,2.400E+00,,3.108E+03,1.315E+06,-2.985E+06,8.769E+02,-2.656E-02,1.154E-06,1.700E-01
41,Na2SiO3[l],2,1.9,,,1.721E+06,-2.938E+06,8.494E+02,-3.549E-02,3.748E-06,9.000E-02
42,H2O[s],7,9.300E-01,,7.470E+02,6.112E+03,2.304E+01,-3.337E+02,2.798E+02,,
43,H2O[l],6,1.000E+00,193,,2.986E+01,-3.152E+03,-7.304E+00,2.425E-09,1.809E-06,
44,NH3[s/l],8,8.700E-01,,,1.053E+01,-2.161E+03,-8.660E+04,,,
45,CH4[s/l],9,6.600E-01,,,3.990E+00,-4.430E+02,-4.900E-01,,,
46,CO[s/l],6,1.140E+00,,,5.181E+01,-7.882E+02,-2.273E+01,5.123E-02,4.660E-11,
47,CO2[s/l],6,1.980E+00,,,3.502E+01,-1.512E+03,-1.134E+01,9.338E-03,7.763E-10,
